NUM,Nombre,Data,#Uni,QMin,QMax,Min.V+T,FPMed,VMax,Pot,ICP,IH,IEA,AfxTur,Afl1,Afl2,Afl3,Afl4,Afl5,TurIn1,TurIn2,TurIn3,TurIn4,TurIn5,Outflow1,Outflow2,Outflow3,Outflow4,Outflow5,Elevation1,Elevation2,Elevation3,Elevation4,Elevation5
238.0000,JagranIII,2021-07-01,1,0,35.0000,0,1,500,35.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238.0000,JagranIII,2021-07-01,1,0,35.0000,0,1,500,35.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115.0000,Mira_Gulpur,2021-07-01,1,0,97.0000,0,1,500,97.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115.0000,Mira_Gulpur,2021-07-01,1,0,97.0000,0,1,500,97.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117.0000,Karot_Power,2022-01-01,1,0,712.8000,0,1,500,712.8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117.0000,Karot_Power,2022-01-01,1,0,712.8000,0,1,500,712.8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118.0000,S.K Hydro,2023-01-01,1,0,861.0000,0,1,500,861.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118.0000,S.K Hydro,2023-01-01,1,0,861.0000,0,1,500,861.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122.0000,Kohala,2026-07-01,1,0,1124.0000,0,1,500,1124.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122.0000,Kohala,2026-07-01,1,0,1124.0000,0,1,500,1124.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
