Source,Data Base,Data Base,,,Data Base,,,EPP & CPP,,
Sddp Code,All the Future And Retring Plants till 2030,CoD for Future Plants and Retiring date for Retiring Plants,1,0,"(derated_cap)
ii. Derated Capacity for Future Plants",forced outages,forced ouages,"i. 0 For Retring Plants
ii. Sum of Red Components for Future Plants",0,
!Num,Nombre,Data,#Uni,GerMin,GerMax,ICP,IH,CVaria,CTransp,CoefE
1801,KAPCO_B1_LNG,1/7/2021,1,0,0,0,0,429.759,0,1
1802,KAPCO_B1_RFO,1/7/2021,1,0,0,0,0,745.5,0,1
2401,KAPCO_B3_LNG,1/1/2022,1,0,0,0,0,968.996,0,1
50,GRANGE_PWR,1/7/2050,1,0,0,0,0,0,0,1
51,PORT_QASIM,1/1/2021,1,0,1242.95,0,0,1390.49,0,1
51,PORT_QASIM,1/1/2022,1,0,1242.95,0,0,1390.49,0,1
51,PORT_QASIM,1/1/2023,1,0,1242.95,0,0,1390.49,0,1
52,ENGRO_PWRGEN,1/7/2019,1,0,602.6,0,0,1075.8,0,1
53,HUANENG_ENRG,1/1/2021,1,0,1243.51,0,0,3135.44,0,0
53,HUANENG_ENRG,1/1/2022,1,0,1243.51,0,0,3135.44,0,0
53,HUANENG_ENRG,1/1/2023,1,0,1243.51,0,0,3135.44,0,0
54,LUCKY_PWR,1/7/2021,1,0,660,0,0,3135.44,0,1
56,SHANGAI_THAR,1/12/2021,1,0,660,0,0,1075.79,0,1
56,SHANGAI_THAR,1/7/2022,1,0,1320,0,0,1075.79,0,1
57,HUBCO_CPIH_1,1/8/2019,1,0,1249.1,6.93,6.93,1384.55,0,1
57,HUBCO_CPIH_1,1/1/2021,1,0,1249.1,6.93,6.93,1384.55,0,1
57,HUBCO_CPIH_1,1/1/2022,1,0,1249.1,6.93,6.93,1384.55,0,1
57,HUBCO_CPIH_1,1/1/2023,1,0,1249.1,6.93,6.93,1384.55,0,1
59,JAMSHORO,1/1/2024,1,0,1320,0,0,0,0,0
60,SIDDIQSONS,1/7/2021,1,0,330,0,0,1023.06,0,1
61,THAR_ENERGY,1/7/2021,1,0,330,0,0,1075.79,0,0
70,JMSH1_B1,1/1/2023,1,0,0,0,0,0,0,1
71,JMSH2_B2,1/1/2023,1,0,0,0,0,0,0,1
7101,JMSH2_B2_LNG,1/1/2023,1,0,0,0,0,0,0,1
7102,JMSH2_B2_RFO,1/1/2023,1,0,0,0,0,0,0,1
73,JMSH3_B2,1/1/2023,1,0,0,0,0,0,0,1
7301,JMSH3_B2_LNG,1/1/2023,1,0,0,0,0,0,0,1
7302,JMSH3_B2_RFO,1/1/2023,1,0,0,0,0,0,0,1
75,JMSH4_B2,1/1/2023,1,0,0,0,0,0,0,1
7501,JMSH4_B2_LNG,1/1/2023,1,0,0,0,0,0,0,1
7502,JMSH4_B2_RFO,1/1/2023,1,0,0,0,0,0,0,1
99,Ms-Layyah,1/1/2019,1,0,32,0,0,726.251,0,0
103,THLNO_THR_B2,1/7/2021,1,0,330,0,0,1075.79,0,1
104,KHI_COSTL,1/11/2020,1,0,1100,0,0,56.0814,0,1
104,KHI_COSTL,1/9/2021,1,0,2200,0,0,56.0814,0,1
106,CHASHNUPP_5,1/7/2025,1,0,1100,0,0,0,0,1
119,RLNG Trimun,1/7/2020,1,0,1230,0,0,497.149,0,1
122,HAMZA_SUG,1/1/2019,1,0,15,0,0,741.3,0,1
123,ALMOIZ,1/7/2019,1,0,36,0,0,741.3,0,1
124,CHANNAR,1/7/2019,1,0,22,0,0,789.4,0,1
125,ETIHAD,1/7/2021,1,0,74,0,0,789.4,0,1
127,SHAHTAJ,1/1/2031,1,0,0,0,0,333.51,0,1
128,HUNZA,1/1/2022,1,0,0,0,0,333.51,0,1
129,Sheikho,1/1/2022,1,0,0,0,0,333.51,0,1
130,Indus,1/1/2022,1,0,0,0,0,333.51,0,1
131,Faran,1/1/2022,1,0,0,0,0,333.51,0,1
133,Itefaq,1/1/2022,1,0,0,0,0,333.51,0,1
134,Bahawalpur,1/1/2022,1,0,0,0,0,333.51,0,1
135,Mirpurkhas,1/1/2022,1,0,0,0,0,333.51,0,1
136,Mehran,1/1/2022,1,0,0,0,0,333.51,0,1
137,Kashmir,1/1/2022,1,0,0,0,0,333.51,0,1
138,Alliance,1/1/2022,1,0,0,0,0,333.51,0,1
139,Habibsgrmill,1/1/2022,1,0,0,0,0,333.51,0,1
140,Sadiqabad,1/1/2022,1,0,0,0,0,333.51,0,1
141,Gotki,1/1/2022,1,0,0,0,0,333.51,0,1
2201,KAP_B2_132LN,1/7/2021,1,0,0,0,0,502.713,0,1
2301,KAP-B2-220LN,1/7/2021,1,0,0,0,0,502.713,0,1
146,Gawadar Coal,1/1/2024,1,0,300,0,0,462.108,0,1
147,TAY,1/7/2023,1,0,489.5,0,0,355.38,0,1
148,Alman,1/1/2022,1,0,0,0,0,333.51,0,1
149,ThalIndus,1/1/2022,1,0,0,0,0,333.51,0,1
150,RaniPur,1/1/2022,1,0,0,0,0,333.51,0,1
151,Digri Gen,1/1/2022,1,0,0,0,0,333.51,0,1
152,Popular,1/1/2022,1,0,0,0,0,333.51,0,1
153,Darya khan,1/1/2022,1,0,0,0,0,333.51,0,1
154,Almaghni,1/1/2022,1,0,0,0,0,333.51,0,1
155,HamzaSMill,1/1/2022,1,0,0,0,0,333.51,0,1
156,TwoStarInd,1/1/2022,1,0,0,0,0,333.51,0,1
157,RYKEnergy,1/1/2022,1,0,0,0,0,333.51,0,1
