!Num,Name,Bus,Type,#Uni,PotIns,FatOpe,ProbFal,SFal,Stat.,O&MCost,Spilling penalty
60.0000,AJ Power,117.0000,0,1,12.0000,1,0,0,60.0000,0,0
54.0000,QASP,171.0000,0,1,100.0000,1,0,0,54.0000,0,0
55.0000,Apollo,171.0000,0,1,100.0000,1,0,0,55.0000,0,0
56.0000,Best Green,171.0000,0,1,100.0000,1,0,0,56.0000,0,0
57.0000,Crest Energy,171.0000,0,1,100.0000,1,0,0,57.0000,0,0
58.0000,harappa SR,171.0000,0,1,18.0000,1,0,0,58.0000,0,0
59.0000,Zorlu_solar,171.0000,1,1,100.0000,1,0,0,59.0000,0,0
76.0000,FWEPL-I,184.0000,0,1,50.0000,1,0,0,76.0000,0,0
77.0000,FWEPL-II,184.0000,0,1,50.0000,1,0,0,77.0000,0,0
28.0000,FFC EGY LTD,189.0000,0,1,200.0000,1,0,0,28.0000,0,0
29.0000,ZORLUENRJIpK,189.0000,0,1,100.0000,1,0,0,29.0000,0,0
61.0000,SphireWdPwr,189.0000,0,1,52.8000,1,0,0,61.0000,0,0
75.0000,3GorgesWFrm,189.0000,0,1,49.5000,1,0,0,75.0000,0,0
62.0000,YunusEnrgy,194.0000,0,1,50.0000,1,0,0,62.0000,0,0
63.0000,TapalWind,194.0000,0,1,30.0000,1,0,0,63.0000,0,0
64.0000,UEPWindPwr,194.0000,0,1,99.0000,1,0,0,64.0000,0,0
66.0000,GulAhmedWnd,194.0000,0,1,50.0000,1,0,0,66.0000,0,0
67.0000,MasterWind,194.0000,0,1,52.8000,1,0,0,67.0000,0,0
69.0000,JhimpirPwr,194.0000,0,1,49.6000,1,0,0,69.0000,0,0
70.0000,HawaEnrgy,194.0000,0,1,50.0000,1,0,0,70.0000,0,0
78.0000,MetroPwrCo,194.0000,0,1,50.0000,1,0,0,78.0000,0,0
80.0000,SachalEnrgy,194.0000,0,1,49.5000,1,0,0,80.0000,0,0
170.0000,HrtfrdAltEgy,194.0000,0,1,49.3000,1,0,0,170.0000,0,0
171.0000,TriconBstnA,194.0000,0,1,49.6000,1,0,0,171.0000,0,0
172.0000,TriconBstnB,194.0000,0,1,49.6000,1,0,0,172.0000,0,0
173.0000,TriconBstnC,194.0000,0,1,50.0000,1,0,0,173.0000,0,0
174.0000,3GorgesWFrm2,194.0000,0,1,49.5000,1,0,0,174.0000,0,0
175.0000,3GorgesWFrm3,194.0000,0,1,49.5000,1,0,0,175.0000,0,0
48.0000,windgen2018,194.0000,1,1,200.0000,1,0,0,48.0000,0,0
65.0000,HydChnDaudPw,999.0000,0,1,49.5000,1,0,0,65.0000,0,0
68.0000,TenagaGenrsi,999.0000,0,1,50.0000,1,0,0,68.0000,0,0
79.0000,ZephyrPwrPvt,999.0000,0,1,49.5000,1,0,0,79.0000,0,0
49.0000,solargen2018,999.0000,1,1,500.0000,1,0,0,49.0000,0,0
176.0000,Solargen2022,999.0000,1,1,400.0000,1,0,0,176.0000,0,0
177.0000,Solargen2023,999.0000,1,1,400.0000,1,0,0,177.0000,0,0
178.0000,Solargen2024,999.0000,1,1,400.0000,1,0,0,178.0000,0,0
179.0000,Solargen2025,999.0000,1,1,400.0000,1,0,0,179.0000,0,0
167.0000,windgen2022,999.0000,1,1,560.0000,1,0,0,167.0000,0,0
168.0000,windgen2023,999.0000,1,1,500.0000,1,0,0,168.0000,0,0
169.0000,windgen2024,999.0000,1,1,500.0000,1,0,0,169.0000,0,0
